"subID","block","trial","image","imageIdx","cueIdx","cue_string","congruent","response","accuracy","RT","cueDuration","learningRound","trueCue","congCue","imgLockedRT"
67,1,12," S1-15.jpg",1,1," green","congruent",2,0,0.5263,1.1,1,0.65,0.65,-0.5737
67,1,13," S1-15.jpg",1,3," orange","neutral",1,1,1.014,0.7833,1,0.5,0.5,0.2307
67,1,14," S1-15.jpg",1,2," purple","incongruent",2,0,0.49,0.8,1,0.65,0.35,-0.31
67,1,15," S1-15.jpg",1,1," green","congruent",2,0,0.454,0.9167,1,0.65,0.65,-0.4627
67,1,16," S1-15.jpg",1,1," green","congruent",1,1,0.4345,0.9167,1,0.65,0.65,-0.4822
67,1,17," S1-15.jpg",1,3," orange","neutral",2,0,0.583,1.0167,1,0.5,0.5,-0.4337
67,1,18," S1-15.jpg",1,1," green","congruent",1,1,0.6554,0.95,1,0.65,0.65,-0.2946
67,1,19," S2-19.jpg",2,3," orange","neutral",1,0,0.3704,0.9667,1,0.5,0.5,-0.5963
67,1,20," S1-15.jpg",1,2," purple","incongruent",1,1,1.9778,0.7833,1,0.65,0.35,1.1945
67,1,21," S1-15.jpg",1,2," purple","incongruent",1,1,1.2134,0.8167,1,0.65,0.35,0.3967
67,1,22," S2-19.jpg",2,3," orange","neutral",2,1,1.5073,0.8333,1,0.5,0.5,0.674
67,1,23," S1-15.jpg",1,1," green","congruent",1,1,1.2722,0.8,1,0.65,0.65,0.4722
67,1,24," S1-15.jpg",1,3," orange","neutral",1,1,1.6365,0.8167,1,0.5,0.5,0.8198
67,1,25," S2-19.jpg",2,3," orange","neutral",1,0,1.1303,0.8333,1,0.5,0.5,0.297
67,1,26," S2-19.jpg",2,1," green","incongruent",1,0,1.6376,1.05,1,0.65,0.35,0.5876
67,1,27," S2-19.jpg",2,2," purple","congruent",2,1,1.6481,0.7833,1,0.65,0.65,0.8648
67,1,28," S2-19.jpg",2,1," green","incongruent",2,1,1.4949,0.7667,1,0.65,0.35,0.7282
67,1,29," S2-19.jpg",2,2," purple","congruent",2,1,1.2123,0.7667,1,0.65,0.65,0.4456
67,1,30," S1-15.jpg",1,2," purple","incongruent",2,0,0.7572,0.9667,1,0.65,0.35,-0.2095
67,1,31," S1-15.jpg",1,1," green","congruent",1,1,1.4484,0.8167,1,0.65,0.65,0.6317
67,1,32," S1-15.jpg",1,1," green","congruent",1,1,1.4135,0.9333,1,0.65,0.65,0.4802
67,1,33," S1-15.jpg",1,1," green","congruent",1,1,1.4612,0.9167,1,0.65,0.65,0.5445
67,1,34," S1-15.jpg",1,1," green","congruent",1,1,0.3507,0.8667,1,0.65,0.65,-0.516
67,1,35," S2-19.jpg",2,1," green","incongruent",1,0,0.6336,0.95,1,0.65,0.35,-0.3164
67,1,36," S1-15.jpg",1,1," green","congruent",2,0,0.3794,0.9833,1,0.65,0.65,-0.6039
67,1,37," S1-15.jpg",1,1," green","congruent",2,0,0.8104,1.5,1,0.65,0.65,-0.6896
67,1,38," S2-19.jpg",2,3," orange","neutral",1,0,0.9526,0.85,1,0.5,0.5,0.1026
67,1,39," S1-15.jpg",1,3," orange","neutral",2,0,0.4812,0.8667,1,0.5,0.5,-0.3855
